,分词结果,label,act_label,预测结果,人工分类
13,可怕 青年 黑 刷拉 卡拉 风控 手上 青年 黑 毕业 第一张 两年 线上 线下 境内 境外 刷 做  固额 点 临额 老妈 朋友 开店 张卡去 进货 有人 上门 推拉 卡拉 收钱 宝 钱 办 试 机器 莫名其妙 刷  我妈 懂 刷 当天 账单 日 这张 青年 黑  大额 消费 记录 几天 收到 风控 信息 暂停 客服 电话 转 人工 等待 语音 提醒 异常 销卡 好不容易 转 人工 解释 说 记录 符合 家庭 日常 消费 支出 行 发卡 全职太太 逛 菜场 超市 那种 没想到 拉 卡拉 咬定 消费 上个月 外省 旅游 提供 机票 住宿 发票 客服 帮 申诉 几天 答复 周一 答复 销卡 申诉 驳回 说 消费 符合 家庭 日常 消费 支出 提供 月 超过  消费 签购单 发票 消费 记录 拉 卡拉 一笔 业务员 说 设置 店铺 名 流水 考拉 商城 找 拉 卡拉 业务员 业务水平 差 一比 安慰 一周 解冻 说 指挥 支支吾吾 说错 帮 开  发票 解释 半天 签购单 发票 分不清 签购单 发票 想 骂人 这辈子 不用 公司 东西 业务员 说 刷 完  三天 跳出 商 户名 刷 装傻 说 想 问问 前辈 救 签购单 我妈 手机 收钱 宝  截图 打印 朋友 帮 开 张  餐饮 发票 申诉 核实 我怕 越描越黑,19,19,账单,账单
14,额度 可调 平了 没法 图 亲测 额度  金凤凰  电话 白麒麟 调成  十万 白麒麟 傍身 碰瓷 碰瓷 阿姨 白之旅,22,22,额度调整,额度调整
15,成功 下卡 销卡 半年 重申 额度 高点,21,21,销卡、销户,销卡、销户
16,积分 难 达标 刷 十几 笔 笔 规则 发现 支付宝 算 商户 统计  延迟 达标 难,10,10,市场活动,市场活动
17,沃尔玛 积分 刷卡金 一年 只能 换 万积分 我想 问下 一年 是从 算 结束 算年,16,16,积分,积分
18,犹豫 再三 下个月 账单 完 销卡 卡面 喜欢 没舍得 销卡 因素 额度 人生 首卡 缘故 额度  两年  销卡 无奈 额度  真 不想 费劲 巴拉 养,21,21,销卡、销户,销卡、销户
19,月 终于 提了 权限 图 幅度  提到,20,20,还款,还款
20,报名 周 参加 周 能领 报名 周 参加 周 能领,10,10,市场活动,市场活动
21,有没有 曲线 提 额度 方法 如题 想 问问 大佬 有没有 曲线 提 额度 方法,8,22,好享贷,额度调整
22,精养 成果 晒 几张 拿的出手 额度 十万 调额 风控 风险 增加,22,22,额度调整,额度调整
23,好享贷 大佬 好享贷 姿势 刷 我俩 年 毛,8,8,好享贷,好享贷
24,提额 一个月 卡 打开 发现 提  块 原本 额度 五千,22,22,额度调整,额度调整
25,临时 额度 电话  月,22,22,额度调整,额度调整
26,要凉,20,20,还款,还款
27,请教 前辈  封卡,20,20,还款,还款
28,客服 真 不敢恭维 素质 工作 原因 自称 电话  开头 结尾  某人 电话 肯定 值班 时间 明天 科室 问 值班 作用 服务 领导 问 姓名 说 侮辱 诋毁 诈骗 醉,9,10,客服热线,市场活动
29,卡 风险 停用 上传 发票 解封  上传 几张 发票 解封 网上 买手机 发票,10,16,市场活动,积分
30,来个 业务员 申高 达卡 自由 卡对 眼 .,20,20,还款,还款
31,求 指导 十月份 送 旅行箱 一想 很久没 交 保护费 刷 笔 七千 买单吧 里 刚要 抱歉 办理 说 说 近半年 每月 一笔 点 小鸡 刷空 原因 这卡网 申秒 批  用卡 三年 万年不提,8,8,好享贷,好享贷
32,客服 一刷 打电话 客服 一刷 打电话,20,8,还款,好享贷
33,团 选 第二轮 选 爱 吃 选择 烤 涮 一体机 爱美 选择 洗脸 仪,16,16,积分,积分
34,好看 流星 掉下来,20,20,还款,还款
35,申卡 卡友 解答 民生  月 不到 半年,20,10,还款,市场活动
36,一笔 刷 一笔 小额 闪付行 一笔 刷 一笔 小额 闪 付行,8,12,好享贷,支付
37,收 保护费 打电话 说 卡 记录 支持 工作 做个 金卡 保护费 到期 用卡 方式 有鬼 办法 只好 答应 做个 小小的 支持 三千 三期 没想到 两张 卡 两份 保护费,8,20,好享贷,还款
38,二卡 国航 知音卡 征信 批卡 额度 二卡 国航 知音卡 征信 批卡 额度 积 分 换 里程,22,22,额度调整,额度调整
39,不让 套 没套 上个月 买  店家 那种 农商 二维码 月 账单 日后 想 骂人 当初 没想 卡付 款 利息 高 想 套 封卡 唯一 影响 行 卡,19,19,账单,账单
40,真  恶心 ! 七个 多月 卡 说 提个额 前 几天 打电话 分 一万 几天 刷 两千 打电话 分  威胁 考虑一下 账单 打电话 骂 大过年 不想 骂人 太 恶心 实在,19,19,账单,账单
41,推出 白金 白金卡 高大 卡 刚性 年费 白金 伪 白金 遍地 猴子 白金 梦 隔壁 悠然 小贱 全球 支付 年费能 刷免 免年费 权益 缩水 降低 白金卡 门槛,10,0,市场活动,APP
42,天 提额 昨天 账单 日 想 进 买单吧  随手 点 额度调整 卡 第一次 查询 征信 想 点 没想到 查 秒 额度  提到   提到  想到 这特 公鸡 放水,22,22,额度调整,额度调整
43,三万 额度 申请 白麒麟 额度  首提 六期 账单 第六期 账单 款 提额,19,19,账单,账单
44,下卡 整整 一年 重 提鹅是 水平 重来 提鹅是 水平,20,10,还款,市场活动
45,短信 邀请 白麒麟 邀请 码 那种 稳不稳 上个月 首卡下  月 发短信 邀请 邀请 码 没法 曲线 老铁 意见,10,10,市场活动,市场活动
46,若干年 前 销过 卡 网申 网点 以卡办卡 拒 怎么回事 小娇要 记仇 一辈子 人生 首张 额度  算是 年 前  销了 卡 没申过 她家 尝试 网申 第一次 页面 未 发卡 条件 记不清 申请 记录 查不到 隔 一个月 网申 记录 隔 拒 上月底 行卡去 网点 以卡 隔 几天 收到 短信 说 审核 程序 我发  加快 审核 发了 回复 再查 进度 拒 记仇 申请 频繁 他行 卡较 情况 养个 月 半年 征信 找 业务员 办理 戏,13,13,申请,申请
47,永达车 卡首 刷 奖励 如题 新 用户 拿到 激活 问 首刷 几次 奖励,13,13,申请,申请
48,最红星期五 中 石油 自助 充值 机 充 加油卡 立减 %,10,10,市场活动,市场活动
49,耳机 已到 收到 电话 下楼 快递 速度 蛮快,20,20,还款,还款
50,申请 白麒麟 条件 储蓄卡 每月 流水 有百来 万左右 办 参考 储蓄卡 流水,13,8,申请,好享贷
51,新一轮  团选 不怎么样 选 榨汁机 价格 虚高 选 音响 纠结,20,20,还款,还款
52,终于 凑够 心累 积分 太,16,16,积分,积分
53,邀请 办卡拔 条 羊腿 愣 看不到 配置 想 转手 有人 收,10,10,市场活动,市场活动
54,买单 力 探讨 哪位 分析 买单 力 作用 功效 提额,10,10,市场活动,市场活动
55,月末  分 月初  分 扣掉  分 缺  分 客服  回来,20,20,还款,还款
56,优逸白 时间 激活 申请 周末 网点 激活 卡 工作人员 说 时 回执 事情 白金卡 时间 时间 激活 过期,11,11,开卡,开卡
57,周周刷  排名 只刷 周  看不到 周 情况 想 耳机 有没有 告知,10,10,市场活动,市场活动
58,优逸 白金卡 求 本来 锦江 之星卡 曲线 二卡 寻思 试试 曲线 白金卡 额度 求 告知 这张 白金卡 开不开,13,13,申请,申请
59,调额 本来 积分 吃 外卖 放着 俩 月 纠结 销卡  调到  留 不留,21,21,销卡、销户,销卡、销户
60,金凤卡 权益 开 申 降级 金凤凰 有病 申不 发 想要 金凤凰 开 开 持有 最低  .  开 加油 优惠,10,10,市场活动,市场活动
61,曲线 成功 万 临时 固定 无聊 网申 二卡免 年费 白金 万 额度 无脑刷 两万 万年 动,22,22,额度调整,额度调整
62,重复 提交 悠逸 申请 卡种 申请 提交 重复 提交 明明 不让 提交 黑名单 破解,13,13,申请,申请
63,销卡 半年 咯 月份 销卡 不让 申 套路,21,21,销卡、销户,销卡、销户
64,推销 太 月 次 电话 账单  账单 打电话 推销 账单 电话 断过 严肃 拒绝 没用 客气 拒绝 没用 电话 不停 没用 账单 日 天,19,19,账单,账单
65,为啥 好几年 网申 秒 拒 难不成 只能 柜台 试一下,20,10,还款,市场活动
66,电销 听到 一半 挂 封卡 两年 一分 不提 打电话 买 挺凶 不买 不行 挂 封卡,20,0,还款,APP
67,短 信 提醒 中 精选  菜卡 月 每月 快刷空 款 逾期 储蓄卡 流水 较大 昨天 发现 转账 交易 短 信 提醒 有个 精选 选项 点 申请 卡种 一点,0,0,APP,APP
68,前 几天 申请 卡 没想到 批准 查询 额度,8,8,好享贷,好享贷
69,短 信 邀请 升级 白金卡 如图 升级 升级 标白 种类 卡片,20,20,还款,还款
70,点后 翻 一倍 额度 两  提到 六万 经验 商户 机种 存钱 刷出,22,10,额度调整,市场活动
71,听 友 推 沃尔玛 申请 提交 额度 低,22,16,额度调整,积分
72,发病 群发 用卡 发 信息,20,1,还款,个人信息
73,账单 没出 邀 想分就分,19,19,账单,账单
74,问 神鹿 卡 问 客服 神鹿 卡积分 合并 忽悠 我办 白麒麟 打算 参加 境外 倍 积分 撸 万积分 神鹿 卡积分 合并 神鹿 卡 参加 最红 境外 倍 活动 有没有 挑战 活动 消费 . 万 万积分 . 万  万积分,10,10,市场活动,市场活动
75,语 越 越 提额 全 贡献 手续费,8,8,好享贷,好享贷
76,礼品 收到 团 第二期 喵 喵 打印机 收到 活动 结束 一个月 没收 参加 月 分 月 礼 活动 一个月 前  名送 背包 活动 背包 没收,10,10,市场活动,市场活动
77,年  党 曲线 销 大妈  小贱  看不起 求 请教,20,20,还款,还款
78,卡加 办卡 申请 优逸 白金 查不到 进度 如题 卡加 办卡 进度 查询 里 数据 怎么回事,13,13,申请,申请
79,双 风控 昨天 扫码 付 笔 达标 抽个 苹果 昨天  疯狂,10,10,市场活动,市场活动
80,业务员 毅力 卖银 毅力 业务员 今儿 来电 卖银 卖 银元宝 嘚 嘚 说 一堆 对不起 嘚 嘚 一堆 帮 办理 对不起 嘚 嘚 一堆 帮 办理 对不起 嘚 嘚 纠缠 十多分钟  帮 办理 对不起  先忙 打扰 再见 嘞 下次 打扰 嘟嘟 嘟嘟 毅力 多发 奖金 斗 上次 卖 小姐姐 毅力 纠缠 多分钟 说 买 说 买 专挑 缺点 小姐姐 哭腔 求 挂 电话 斗 训练 一段时间,8,8,好享贷,好享贷
81,阿娇 沃尔玛 卡 刷卡金 阿娇 刷卡金 购买 沃尔玛 购物 卡 回答 万分 感谢 ! !,16,10,积分,市场活动
82,默默 问 耐 撸 默默 问 耐 撸 卡 撸 公司 走走 账 耐草 不耐,20,20,还款,还款
83,生日 额度 咋办 五倍 积 分 额度 剩下 一万 整 充钱 刷会 危险,22,22,额度调整,额度调整
84,发现 两个 最红 积分 优惠 码 实体店 兑换,16,16,积分,积分
85,降低 额度 卡 有没有 影响,22,22,额度调整,额度调整
86,好享贷 影响 提固 好享贷 征信 商业,8,8,好享贷,好享贷
87,申请 二卡 每次 第二天 拒绝 连续 两个 月 破解,8,8,好享贷,好享贷
88,白麒麟 磁条卡 能换 芯片 卡 磁条卡 换成 芯片,20,20,还款,还款
89,咨询 抢 电子书 麻烦 抢过 朋友 说 步骤 支付 完 积分 成功 为啥 我积分 扣除 奖品 里 电子书,16,16,积分,积分
90,最红 积分 兑 刷卡金 月 号 做 全额 还款 说 券 抵扣 有用 说 券是 方法 有效期 早 兑换 话费 券 这俩 月 忙活,16,16,积分,积分
91,一万 卡 月  好享贷 人品 爆发 一万 卡 月  好享贷 人品 爆发,8,8,好享贷,好享贷
92,周周刷 只刷 周 报下 总金额 排名 刷 第七 周  万左右 更好,10,10,市场活动,市场活动
93,首卡 网申 异地 激活 想 帮 姐姐 张卡 户籍 广西 想 包装 成 户籍 地址 寄给 连云港 姐姐 连云港 网点 面签 激活 话 申请,11,11,开卡,开卡
94,消除 逾期 一点 分享 方法 适合 能侃能 聊 放弃 手段 无奈 办法   年 原因 菜卡 逾期 次 好像 第三年 第四年 尝试 客服 消掉 逾期 最终 剩余 次 消掉 三次 剩余 两次 时间 自动 洗白 抹除 前期 话术 思路 收到 账单 通知 几年 国外 工作 办法 买房 房贷 过不去 通知 超过 次 老婆 闹 离婚 逾期 买 房 投诉 部门 三级 初级 客服 客服 主管 投诉 部 想尽办法 闹到 投诉 部才 投诉 部门 权限 消除 逾期 权限 结清 销户 情况 抹除 三次 前前后后 通电话 证明 逾期 非 人行 提出异议 年 消除 发卡行 一部分 权限 超出 三次 好像 权限 前期 想尽办法 换 涉世未深 客服 诱导 说 不该 说 告知 录音 工号 扬言 投诉 银监局 一步 一步 上报 回访 投诉 部 机会 消除 完 发 条 短信 内容 好像 人行 征信 紧急 修改 截图 换 手机 找 不到 细节 逾期 结清 卡里 多存 一块钱 做些 文章 分享 感谢 无私 分享 急需 消除 方法 尝试 起码 成功 商业银行 估计 难度 默默 做 张扬 路子 死 害人害己,4,4,信用记录,信用记录
95,临时 额度 越 越 重 没用过 半年 光给 临时 固定 破,22,22,额度调整,额度调整
96,扫 建行 商户 维码  秒 短信 额度 刷 玩,22,22,额度调整,额度调整
97,华润 万家 超市 卡 临时 不用 第二期 临时  额度 用卡 司机 临时 临时,22,22,额度调整,额度调整
98,优逸白 额度 能刷 额度 封顶 三十万 无图 真相 有卡 小伙伴 晒 额度,22,22,额度调整,额度调整
99,生日 月 撸 手里 黑白 菜 花姐 精英 阳光 生日 月 撸,10,10,市场活动,市场活动
100,白麒麟 到手 说 旅程 首卡 万 额度 一年 主动 万 额度 上周 点 点 调额 万 下半年 趟 欧洲 川航 成都 转机 上海 成都 布拉格 威尼斯 巴黎 布拉格 成都 上海 趟 飞机 申个 享受 贵宾室  意外险 延误 险 申请 隔天 点 发短信 万 额度 第三天 收到 卡 老婆 申请 附属卡,22,22,额度调整,额度调整
101,人品 渣 道友,20,20,还款,还款
102,人品分  算 黑屋 逛 头条 说 人品分 长期  黑屋,20,0,还款,APP
103,大坑 好享贷 征信  秒 变  月份   好享贷 开通 征信 报告 额度  太坑 新下  额度 提额,8,8,好享贷,好享贷
104,法人 好下 卡 政府 合同工 单位 交五险 公积金 上班 年 家里 做生意 法人 过户 名下 我家 厂子  年 成立 营业 缴税 纳税人 户 七行 卡 万 授权 负债率 想 审卡 在职员工 法人 好下 卡,20,20,还款,还款
105,提额 临时 额度 固定 .  万,22,22,额度调整,额度调整
106,月 号 过后 拒后 月 周转 实在 紧张 想 碰运气 第一次 申是 月 号 拒 月 网申 没法 申 通道 查 征信 估计 机会,0,0,APP,APP
107,. 买单吧 领  积分  特选 用户 点 领 试 领了 .,16,16,积分,积分
108,期限 激活 自动 销了 卡 找 回来 月  期限 日 月 换 手机号 昨天 旧卡 充上 话费 发现 信息,0,1,APP,个人信息
109,降额 不信邪 六年 卡 首卡 我试 两千 停卡 短信 真 倒霉 瞎 两千 流动资金 弱弱 问 一句 能解 芙蓉王 加 泡面,20,20,还款,还款
110,昨天 申请 白麒麟 昨天中午 一整天 受理 短信 一看,13,13,申请,申请
111,码 为啥 上个月 月 兑换 闲鱼 卖 说 兑换 坑 闲鱼 买家 坑,16,16,积分,积分
112,薅 羊毛 手持 两张 卡 卡 每月 疯狂  想办 卡 挣 刷卡金 钱 两个 卡 积分 共享 白麒麟 年费 万积分 外加 撸 沃尔玛 超市 万积分 计划 搞定  万 两个 卡积分 通用 白麒麟 沃尔玛 晓得 咋样 网点 超市 隔壁 省,16,16,积分,积分
113,提  如题 记录 下次 提额 月 二提,8,8,好享贷,好享贷
114,小姣 第三次 竞猜活动 三道 答对 两道 答错 太 遗憾,20,20,还款,还款
115,办完 白麒麟 把沃 德卡 消掉 后果 沃德 理财 月 办 想 砖 转出去 沃德 消掉 影响,20,20,还款,还款
116,好享贷 签约 失败  额度 卡  额度  临时 刷 剩到  块钱,22,8,额度调整,好享贷
117,提额 顶 雨 沃尔玛 刷卡 特意 周五 顶 雨 刷卡 提额,22,22,额度调整,额度调整
118,燃卡 到手 一段时间 激活 两个  单独 寄出 燃卡 类似 珍珠 花纹,8,11,好享贷,开卡
119,真狠 反正 提额 做 打算 提额 用法,22,22,额度调整,额度调整
120,第一次 提额  用卡 半年 买单吧 点 顺便 研究 下用 卡 姿势,0,0,APP,APP
121,观望 申请 卡 观望 没卡,13,13,申请,申请
122,已有 行 大佬 网申 拒 特意 问问 网申 拒要,20,20,还款,还款
123,不让 网申 柜台 填 纸版 表 申请 成功 成功 不让 网申 柜台 填 纸版 表 成功 成功 不让 网申 柜台 填 纸版 表 申请 成功 成功 十天 见分晓,8,14,好享贷,申请进度查询
124,邀请 办理 去年 销了 菜卡 发现 收到 短 信 估计 假 我办 还给 我办 手机号 发短信,13,13,申请,申请
125,自动 提 临时 额度 取消 自动 临时 额度 提上去 拒绝 提额  小时 回复 该不该 临时 求 指点 权限 照片,22,22,额度调整,额度调整
126,致电 人工 逾期 记录 五年 自动 消除 逾期 卡片 销不 销卡 逾期 逾期 五年 自动 消除 整 明白 有卡友 说 逾期 卡 后期 五年 自动 消除 破 . 月 . . 月 累计 逾期 次 放心 销卡,4,20,信用记录,还款
127,请教 沃尔玛 刷卡 姿势 机子 能刷  搞懂  大类 貌似,16,16,积分,积分
128,想 . 万 第七 周 第八 周 排名 想选 被子 . 万 第六周 排名  想 八周 七周,16,16,积分,积分
129,四五次 临时 额度 固额 求 执教 额度 可怜,22,22,额度调整,额度调整
130,平板 稳赢 第一天 刷 姿势 风控 中午 下午 购物 两次 大额 吃饭 小额 晚上 酒吧 高级 酒店,10,10,市场活动,市场活动
131,妈耶 积 分 换 星巴克 几十万 积分 废,16,16,积分,积分
132,优逸白 这张 白金 额度 封顶 有用 标准 额度  年 不到 销掉 回金卡 额度 回到 封顶  这张 白金 额度 封顶,22,22,额度调整,额度调整
133,终于 下定决心 推小娇 约 业务员 明天 上门 以卡办卡 征信 条 逾期 记录 小贷 结清 手上 有华姐 猴子 大妈 铁公鸡 四张 卡 直播 怀孕 求一波 好运气,4,4,信用记录,信用记录
134,云闪付 天能 刷 笔 刷 天 超过 笔 没敢 刷,20,10,还款,市场活动
135,两种 苏宁 卡有 区别 两种 苏宁 卡有 区别,20,20,还款,还款
136,年 最红星期五 注册 注册,10,10,市场活动,市场活动
137,积分 活动 速来 关注 今天上午 老油子 云闪付 活动 . . 三天 云闪付 交易 双倍 积 分 上限 万分,10,10,市场活动,市场活动
138,周周刷 成 未受邀请 帮忙 本周 第六周 中午 登录 买单吧 查询 五周 晚上 成 未受邀请 求解,10,0,市场活动,APP
139,团 刷 稳不稳 刷 万 两张 翻倍 刷,20,20,还款,还款
140,额度 突 降到 月 还款 最低 缘故 一万二 降到 还分 期 一次性 多钱 月 最低 客服 说 催收 商量 商量 月 一点 半年 完,20,20,还款,还款
141,白麒麟 提额 求助  年 公务 卡  额度 去年 月 想 贷  额度 公务 卡 提额 受限制 月 中铁 额度  销掉 转 申请 下卡  白麒麟 提额 提,22,22,额度调整,额度调整
142,大哥大 佬 天 郁闷 屋漏 偏逢 连夜 雨 前天 昨天 刷 昨天晚上 真实 消费 饭店 早上 短信 客服 打电话 只能 语音 说 风控 销卡 转接 人工 客服 按键 等级 图 大哥大 佬,21,21,销卡、销户,销卡、销户
143,我晕 好享贷 恢复 额度 玩意 好享贷 账单 恢复 额度 东西 倍 富金 小招  语 好享贷,8,8,好享贷,好享贷
144,刚小娇 打电话 前 几天 额度 提到  有刷 三五千 大额 电话 询问 刚刷 一笔 不到  打电话 问 消费 风控 怕怕,8,8,好享贷,好享贷
145,太有 爱 运气 爆棚,20,20,还款,还款
146,忠实 薄 提额 稳稳 奈何 翻车 心 生 喜欢 京东 买 东西 发现 京东 支付 积分 砖行 更爽 网购 倍 积分 一万 积 分 价值 比小娇 实在 额度 爱 提不提 冷冻,16,16,积分,积分
147,申请人 工调额 月 二提 昨天 电话 人工 审批 说 工作日 回复,20,19,还款,账单
148,刷卡金 奇怪 如题 晚上 发现 境外 刷卡金 记得 参加 活动 送 刷卡金 出境 好像 单笔 抵 % 单笔 刷 万,10,10,市场活动,市场活动
149,太可气  年 月 年 额度 纹丝不动 可恶 资格 分 资金  发誓 消了 太无语,8,8,好享贷,好享贷
150,注销 恢复  天后 好像 不行 申请,21,0,销卡、销户,APP
151,积分换 积分换 油卡 给力 万多 块 油卡,16,16,积分,积分
152,存 十万 刷 如题 卡 一万 额度 月 刷 十万 流水,8,8,好享贷,好享贷
153,走 狗屎运 签到 中大奖 昨天 签 晚 平时 八分  分,16,16,积分,积分
154,尿性 不用 提额 权限 图 尊敬  即日起 尾号  人民币 额度 已调 升至  元 敬请 知悉 年  月  日至 年  月 日 期间 累计 调升 固定 额度  元 祝您 用卡 愉快,22,22,额度调整,额度调整
155,年 卡 没提 过额  年 卡  用到  年 提过 额度 换 卡 没提 过额 销掉,20,8,还款,好享贷
156,提额 买单吧  额度 管理 右上角 有个 秒 提额 小红字 点 固定 额度调整 查询 征信 提示 提示 提额 失败 每次 点击 提额 说 下个 账单 再试 求解  小字 权限 图,22,22,额度调整,额度调整
157,拒 申请 一月份 拒绝 申请 验证码 发 说 申请 头疼 太 记仇 注销 卡,13,13,申请,申请
158,该卡 风险 暂停 快手 消费 全额 款 暂停,20,10,还款,市场活动
159,恶心  降到 两千 更是 两年  有过 临时 去年 月份 降到 更是 遭遇,20,20,还款,还款
160,首提 算了 账单 天 短行 提醒 提额 月 好像 运气 首提 首批 阿娇 破首 提 好事,19,19,账单,账单
161,稳 上次 半夜 选 礼品 看清 规则 先到 先得 选 稳 选择 排名 只刷   本来 没戏 稳 麻烦 耳机,0,16,APP,积分
162,刷 实体 卡  两笔 客服 电话 确认 刷 实体 卡  两笔 客服 电话 确认,9,9,客服热线,客服热线
163,周周刷 选奖 截止 时间 周周刷 选奖 截止 时间,10,10,市场活动,市场活动
164,申请 拒 专科毕业 网申 金卡 第二天 收到 短 信 接纳 申请,13,13,申请,申请
165,优逸白套 卡 沃尔玛 金 下卡 请教 昨天 网申  套卡 金卡 一早 收到 通知 想 问 套 卡里 万事达 环球 卡黑卡 卡 姿势 懂 黑卡 权限 图片,13,13,申请,申请
166,尿性 不理 提了 有图 人生 首卡  一笔 没刷过 刚下 时 应急 小笔 现金 没管 赶上 普提,8,10,好享贷,市场活动
167,群发 收到 两条 没带 名字 群发 推一波,20,20,还款,还款
168,说 喜欢 贷后 拉 信报 一年 提额 临时,22,22,额度调整,额度调整
169,白麒麟 机场 贵宾厅 前 几天 家人 趟 香港 第一次 体验 机场 贵宾 五星 好评 忘 机场,0,0,APP,APP
170,二卡 到手 开帖 纪念 提交 收到 卡片 总共 四天 效率 卡面 卡号 权益 喜欢 感谢,0,6,APP,卡寄送
171,友谊 白金 白金 伪白 敬请 评价,0,10,APP,市场活动
172,白金 邀请 额度,10,10,市场活动,市场活动
173,发狂 搞不懂 搞不懂 审核 信息 查下 进度 拒绝 次次 求教 要办,0,13,APP,申请
174,收到 邀约 升级 白金 短信 帮忙 分析 升 升级 短信内容 诚邀 升级 我行 白金卡 申办 白金卡 核卡  天内 刷 笔  元 享免 首年 年费 尊享 机场 贵宾厅 酒后代驾 礼遇 点击 链接 当月 我行 审批 为准 金卡 额度  升级 额度 提 帮忙 主意,22,22,额度调整,额度调整
175,封卡 尊敬 卡仅 用于 日常 消费  柜面 取现 持卡人 需 规范 用卡 收集 保留 近期 发票 签购单 核对 交易 情况 谢谢合作,16,16,积分,积分
176,年底 优惠 . 好久没 优惠 期  期 . 现金分期 费率 .,8,8,好享贷,好享贷
177,提额 失败 查询 征信 情况 输入 验证 确认 失败 破 权限 上传 图片,20,10,还款,市场活动
178,沃德 达标 起步 额度 沃德 达标 起步 额度 值得 办  块钱 年费,22,22,额度调整,额度调整
179,沃 德卡 办  砖去 网点 办沃德 理财 卡 到时候 申 跑 网点 办沃德 要存 月 达标 换沃 德卡 样子 要存 月 换卡 月 沃德 达标 月 推荐 白麒麟,10,10,市场活动,市场活动
180,表达 该销 会销 批卡 额度  卡 过期 额度  本来 计划 销卡 惦记着 积 分 没用 完 月 积分花 账单 完 销卡 不吭声 寄 卡 记得 卡 到期 致电 询问 这问 卡给 发过来 不用 反正 卡给 寄过去 先 激活 这期 完就销 不想 冷冻 期,21,21,销卡、销户,销卡、销户
181,周周刷 请 第三轮 中  说 说 第三轮 中  消费 金额  名 请 帮忙 消费 金额 排名 多谢 月 日 累积 万出头 排名  出头 不知 稳不稳,0,19,APP,账单
182,实实在在 交了  保护费 年费 实实在在 交了  保护费 年费,19,19,账单,账单
183,人品指数 太假 上个月 申卡 一百多 月 六百多 上个月 差 多分 六百多 关键 第一个 月 还款 日 明天 哈哈哈哈,20,20,还款,还款
184,可真 小气 年度 账单 花  抽奖 中 境外 刷卡金  元 可真 小气 年度 账单 花  抽奖 中 境外 刷卡金  元,19,19,账单,账单
185,提 消费 少 提 前 三次 自动 提 手动,20,20,还款,还款
186,收到 短 信 风控 额度 . 万 两个 月 临时 额度 用大鸡 大小 笔 网上 消费 几笔,22,22,额度调整,额度调整
187,明天 账单 日 点 提额 查询 征信 提了    幅度 真小,19,19,账单,账单
188,算是 邀请 白金 白金卡 核卡  天内 刷 笔  元免 首年 年费 享 机场 贵宾厅 酒后代驾 礼遇 万积 分兑 次年 年费 收费 章程     申请表 示 同意 链接 附 文件  前 回复  申请,13,13,申请,申请
189,一年 首提 临时 提 百分之五十 固定 不知 提,10,10,市场活动,市场活动
